Plant,DateTime,LightIntensity,Temperature,WaterLevel,Humidity,WindSpeed,HeightGrowth
Domates,2024-01-03 06:00:00,5119.32,26.87,7.82,60.51,11.53,2.67
Biber,2024-01-03 06:00:00,5898.18,20.96,8.13,55.66,1.26,1.25
Nane,2024-01-03 06:00:00,3834.5,16.28,5.05,76.22,7.31,1.23
Domates,2024-01-03 12:00:00,7986.7,20.95,7.07,62.65,0.55,2.71
Biber,2024-01-03 12:00:00,4822.1,21.78,7.91,41.92,4.04,2.01
Nane,2024-01-03 12:00:00,3900.25,23.64,5.43,60.11,0.31,1.14
Domates,2024-01-03 18:00:00,7279.02,20.63,7.05,63.16,0.17,2.52
Biber,2024-01-03 18:00:00,4786.78,27.88,6.83,44.52,6.18,2.32
Nane,2024-01-03 18:00:00,5235.45,15.74,5.25,77.57,7.2,0.98
Domates,2024-01-04 00:00:00,5294.56,19.13,5.09,52.66,10.78,1.33
Biber,2024-01-04 00:00:00,6286.56,20.82,6.37,40.63,0.15,1.96
Nane,2024-01-04 00:00:00,3271.69,17.88,5.79,67.21,6.93,1.4
Domates,2024-01-04 06:00:00,6344.9,20.42,5.71,57.06,2.44,1.77
Biber,2024-01-04 06:00:00,5046.47,28.46,6.36,48.21,6.28,1.04
Nane,2024-01-04 06:00:00,5600.95,17.17,3.01,69.15,5.66,0.78
Domates,2024-01-04 12:00:00,5123.72,25.89,6.25,55.71,1.4,1.41
Biber,2024-01-04 12:00:00,6920.7,23.48,8.94,54.23,7.2,1.31
Nane,2024-01-04 12:00:00,3755.07,15.15,5.93,70.95,4.68,1.09
Domates,2024-01-04 18:00:00,5143.19,23.12,6.33,51.23,11.67,1.76
Biber,2024-01-04 18:00:00,5479.67,23.66,6.34,48.79,0.64,1.62
Nane,2024-01-04 18:00:00,5562.52,20.56,5.45,69.58,0.49,0.62
Domates,2024-01-05 00:00:00,5042.13,27.88,6.9,63.15,9.39,1.18
Biber,2024-01-05 00:00:00,4938.04,23.89,7.3,55.2,0.89,0.83
Nane,2024-01-05 00:00:00,4078.21,23.76,5.8,63.68,4.14,0.72
Domates,2024-01-05 06:00:00,6506.59,19.7,7.01,64.08,4.66,2.74
Biber,2024-01-05 06:00:00,4068.23,23.75,8.97,46.67,9.72,1.38
Nane,2024-01-05 06:00:00,4246.43,22.58,5.46,65.9,5.87,1.26
Domates,2024-01-05 12:00:00,7678.49,25.11,7.65,63.45,5.05,1.95
Biber,2024-01-05 12:00:00,4943.82,26.02,7.12,59.16,6.01,1.92
Nane,2024-01-05 12:00:00,4156.11,19.79,3.06,66.88,3.71,0.54
Domates,2024-01-05 18:00:00,5139.77,22.5,6.69,52.88,9.49,1.23
Biber,2024-01-05 18:00:00,4785.21,26.72,8.93,53.28,4.95,1.2
Nane,2024-01-05 18:00:00,3468.7,15.79,5.09,63.73,3.97,0.62
Domates,2024-01-06 00:00:00,7774.02,22.12,6.56,57.2,1.13,1.42
Biber,2024-01-06 00:00:00,5213.09,28.98,6.61,56.38,3.85,1.04
Nane,2024-01-06 00:00:00,5461.74,23.22,3.03,63.11,6.63,1.49
Domates,2024-01-06 06:00:00,7776.87,25.77,6.76,51.31,5.51,2.06
Biber,2024-01-06 06:00:00,5312.4,22.22,7.8,52.13,8.4,1.06
Nane,2024-01-06 06:00:00,4621.95,16.69,3.57,64.09,3.16,0.53
Domates,2024-01-06 12:00:00,7371.67,20.99,7.26,53.79,8.87,2.07
Biber,2024-01-06 12:00:00,5864.3,27.11,8.59,52.59,4.49,0.93
Nane,2024-01-06 12:00:00,3496.6,21.66,4.3,72.51,6.3,0.92
Domates,2024-01-06 18:00:00,6917.37,21.6,6.88,66.34,1.31,1.74
Biber,2024-01-06 18:00:00,4388.14,20.38,6.33,41.49,8.56,1.93
Nane,2024-01-06 18:00:00,5878.11,15.79,5.45,66.43,4.87,0.59
Domates,2024-01-07 00:00:00,6171.79,19.46,6.19,59.36,8.69,1.18
Biber,2024-01-07 00:00:00,4069.51,24.37,8.01,46.4,6.61,1.05
Nane,2024-01-07 00:00:00,4700.56,18.97,3.85,71.55,1.48,1.05
Domates,2024-01-07 06:00:00,6102.59,27.07,6.24,63.45,0.23,1.42
Biber,2024-01-07 06:00:00,6388.07,21.98,6.33,42.9,6.28,2.32
Nane,2024-01-07 06:00:00,3905.17,19.89,3.11,78.2,6.05,1.42
Domates,2024-01-07 12:00:00,7836.09,27.44,6.35,68.79,10.36,1.33
Biber,2024-01-07 12:00:00,5690.57,24.94,6.07,52.58,4.05,0.94
Nane,2024-01-07 12:00:00,3058.08,15.05,4.47,78.19,2.51,0.9
Domates,2024-01-07 18:00:00,5528.47,27.21,5.6,64.64,9.32,2.91
Biber,2024-01-07 18:00:00,5660.08,29.58,6.8,49.41,8.46,1.7
Nane,2024-01-07 18:00:00,5975.35,22.1,3.54,63.93,4.04,1.19
Domates,2024-01-08 00:00:00,7811.08,23.82,6.51,65.06,7.88,2.0
Biber,2024-01-08 00:00:00,5088.97,20.94,7.29,47.28,5.5,1.69
Nane,2024-01-08 00:00:00,4822.73,22.54,4.23,70.76,5.68,0.57
Domates,2024-01-08 06:00:00,6375.93,20.51,7.93,62.28,0.34,1.69
Biber,2024-01-08 06:00:00,4849.87,22.28,7.2,58.98,9.89,1.04
Nane,2024-01-08 06:00:00,5314.23,18.73,5.57,71.61,0.4,0.97
Domates,2024-01-08 12:00:00,5030.6,24.64,5.87,65.31,0.61,2.81
Biber,2024-01-08 12:00:00,4063.32,23.76,6.98,56.43,2.86,1.59
Nane,2024-01-08 12:00:00,4960.7,23.2,4.7,66.04,7.14,0.57
Domates,2024-01-08 18:00:00,7644.06,27.09,5.35,57.74,11.47,1.54
Biber,2024-01-08 18:00:00,6307.17,25.55,7.89,59.78,8.19,1.57
Nane,2024-01-08 18:00:00,4222.53,15.71,5.33,78.85,6.59,0.62
Domates,2024-01-09 00:00:00,7888.12,19.02,7.33,57.65,4.68,1.19
Biber,2024-01-09 00:00:00,5436.95,26.94,6.75,58.0,8.62,1.89
Nane,2024-01-09 00:00:00,3541.76,23.26,5.07,72.76,2.17,1.26
Domates,2024-01-09 06:00:00,5420.1,24.02,6.34,53.92,1.03,1.71
Biber,2024-01-09 06:00:00,4174.63,25.85,6.07,41.62,5.92,2.12
Nane,2024-01-09 06:00:00,4422.22,24.31,4.94,61.58,4.07,1.23
Domates,2024-01-09 12:00:00,7892.58,23.19,6.56,51.55,3.7,2.6
Biber,2024-01-09 12:00:00,6031.1,20.04,6.13,52.56,1.15,2.26
Nane,2024-01-09 12:00:00,5216.0,21.65,4.21,72.57,7.74,0.5
Domates,2024-01-09 18:00:00,7904.03,18.14,7.35,54.13,4.19,2.26
Biber,2024-01-09 18:00:00,5107.31,28.45,7.2,50.41,5.19,1.29
Nane,2024-01-09 18:00:00,5655.59,22.98,4.51,70.46,4.05,0.95
Domates,2024-01-10 00:00:00,7516.18,19.0,5.62,69.87,8.34,2.24
Biber,2024-01-10 00:00:00,5490.38,26.71,8.7,54.41,7.5,1.63
Nane,2024-01-10 00:00:00,5151.69,20.85,5.51,73.63,0.82,0.57
Domates,2024-01-10 06:00:00,5974.97,19.21,5.65,58.35,9.47,2.57
Biber,2024-01-10 06:00:00,4812.42,23.51,7.75,56.39,4.61,1.66
Nane,2024-01-10 06:00:00,4810.72,18.93,5.85,60.09,2.61,1.24
Domates,2024-01-10 12:00:00,7776.64,19.07,6.39,53.33,13.38,2.34
Biber,2024-01-10 12:00:00,5168.52,24.97,7.89,57.57,7.31,2.28
Nane,2024-01-10 12:00:00,5888.65,24.48,3.39,69.47,6.91,1.02
Domates,2024-01-10 18:00:00,7649.43,26.05,5.21,60.43,13.59,1.25
Biber,2024-01-10 18:00:00,4365.24,28.98,7.55,41.7,1.49,1.1
Nane,2024-01-10 18:00:00,3811.69,20.42,5.26,74.28,6.09,1.19
Domates,2024-01-11 00:00:00,5626.35,18.21,7.43,60.61,3.46,2.21
Biber,2024-01-11 00:00:00,4512.9,24.11,7.51,47.74,5.08,1.63
Nane,2024-01-11 00:00:00,3956.18,23.84,5.55,69.56,1.21,0.87
Domates,2024-01-11 06:00:00,7741.62,21.78,6.71,58.07,10.48,1.71
Biber,2024-01-11 06:00:00,4957.16,25.63,8.9,59.23,7.13,1.76
Nane,2024-01-11 06:00:00,5083.0,21.52,3.17,78.19,7.34,1.32
Domates,2024-01-11 12:00:00,7018.81,21.49,5.07,68.47,4.7,2.06
Biber,2024-01-11 12:00:00,5037.61,20.89,7.41,48.84,9.69,1.82
Nane,2024-01-11 12:00:00,3206.22,16.76,5.92,64.57,1.6,0.87
Domates,2024-01-11 18:00:00,6147.12,27.19,7.98,58.62,14.63,2.75
Biber,2024-01-11 18:00:00,5262.97,28.85,8.65,44.91,7.9,1.61
Nane,2024-01-11 18:00:00,3570.56,24.16,4.16,71.61,3.41,1.29
Domates,2024-01-12 00:00:00,7822.31,19.47,5.22,55.91,13.37,2.86
Biber,2024-01-12 00:00:00,5506.98,25.87,6.83,47.6,4.79,0.86
Nane,2024-01-12 00:00:00,3494.18,21.64,4.9,63.14,4.33,1.36
Domates,2024-01-12 06:00:00,6678.68,25.4,7.02,66.44,13.34,1.53
Biber,2024-01-12 06:00:00,6660.78,28.65,8.95,56.62,5.13,1.37
Nane,2024-01-12 06:00:00,4468.57,22.29,5.46,61.58,6.4,0.89
Domates,2024-01-12 12:00:00,7969.13,22.61,6.27,51.25,5.41,1.78
Biber,2024-01-12 12:00:00,6366.95,24.43,8.9,53.79,7.8,2.19
Nane,2024-01-12 12:00:00,3847.54,24.43,5.52,78.85,2.01,1.28
Domates,2024-01-12 18:00:00,7630.3,22.64,7.42,59.98,10.3,1.29
Biber,2024-01-12 18:00:00,6307.09,28.34,7.16,50.87,9.63,1.89
Nane,2024-01-12 18:00:00,4873.03,20.95,4.41,79.82,0.53,0.91
Domates,2024-01-13 00:00:00,6734.71,23.21,6.17,58.17,14.42,1.81
Biber,2024-01-13 00:00:00,4775.34,28.05,7.3,45.24,2.52,2.22
Nane,2024-01-13 00:00:00,5023.12,21.05,5.0,77.78,6.35,0.54
Domates,2024-01-13 06:00:00,6831.09,21.33,7.97,54.87,8.42,1.78
Biber,2024-01-13 06:00:00,6830.2,27.51,6.93,53.72,2.08,1.9
Nane,2024-01-13 06:00:00,4495.8,22.31,5.63,62.91,4.38,1.19
Domates,2024-01-13 12:00:00,7824.86,27.16,5.38,66.24,11.36,1.17
Biber,2024-01-13 12:00:00,4629.33,28.99,8.9,45.02,0.84,2.02
Nane,2024-01-13 12:00:00,4898.86,19.21,5.79,60.07,1.16,1.25
Domates,2024-01-13 18:00:00,7046.09,27.14,5.22,69.72,6.82,2.47
Biber,2024-01-13 18:00:00,6541.76,25.1,8.43,40.41,7.52,1.7
Nane,2024-01-13 18:00:00,3397.37,24.9,4.05,72.34,2.28,1.08
Domates,2024-01-14 00:00:00,7647.04,27.77,6.73,53.88,13.48,1.12
Biber,2024-01-14 00:00:00,5944.25,23.87,7.81,59.09,4.09,2.11
Nane,2024-01-14 00:00:00,5683.48,18.16,4.15,71.14,3.17,0.97
Domates,2024-01-14 06:00:00,6972.38,24.67,7.24,62.56,9.76,1.73
Biber,2024-01-14 06:00:00,6746.29,28.41,6.17,44.37,3.75,1.66
Nane,2024-01-14 06:00:00,5335.35,22.13,5.84,73.78,7.47,1.19
Domates,2024-01-14 12:00:00,5596.11,22.29,6.83,52.46,14.69,2.69
Biber,2024-01-14 12:00:00,5104.02,24.67,7.86,50.24,7.3,1.38
Nane,2024-01-14 12:00:00,3960.05,23.21,5.2,73.32,3.98,1.17
Domates,2024-01-14 18:00:00,5654.64,19.9,5.48,61.34,9.37,1.91
Biber,2024-01-14 18:00:00,4344.23,27.41,8.59,45.96,0.69,1.49
Nane,2024-01-14 18:00:00,5354.94,17.1,5.17,69.85,4.09,1.08
Domates,2024-01-15 00:00:00,5790.08,22.76,5.8,58.76,0.77,2.1
Biber,2024-01-15 00:00:00,5548.66,25.22,9.0,52.46,9.67,1.6
Nane,2024-01-15 00:00:00,5408.33,20.0,3.02,75.38,6.07,1.08
Domates,2024-01-15 06:00:00,5541.68,20.06,6.65,50.81,5.14,2.97
Biber,2024-01-15 06:00:00,6370.88,28.5,6.31,48.19,5.09,1.27
Nane,2024-01-15 06:00:00,5133.91,17.88,5.99,72.95,3.16,0.77
Domates,2024-01-15 12:00:00,6256.0,18.2,7.52,52.93,7.76,1.68
Biber,2024-01-15 12:00:00,6461.38,22.14,8.65,41.61,7.68,2.31
Nane,2024-01-15 12:00:00,4338.09,15.52,4.92,67.73,1.33,1.04
Domates,2024-01-15 18:00:00,7953.05,22.86,5.14,62.49,4.11,1.62
Biber,2024-01-15 18:00:00,4147.86,26.7,6.86,48.23,1.15,1.61
Nane,2024-01-15 18:00:00,3436.94,18.63,5.36,64.32,6.67,0.95
Domates,2024-01-16 00:00:00,5033.75,21.07,7.02,56.14,1.71,1.57
Biber,2024-01-16 00:00:00,5506.0,24.83,7.09,59.93,2.76,1.79
Nane,2024-01-16 00:00:00,5569.46,22.44,5.68,78.93,6.14,1.24
Domates,2024-01-16 06:00:00,7105.03,24.29,5.01,50.37,6.87,1.91
Biber,2024-01-16 06:00:00,5191.57,22.97,6.2,44.11,5.16,1.44
Nane,2024-01-16 06:00:00,3130.35,20.55,3.1,64.25,2.02,1.09
Domates,2024-01-16 12:00:00,7095.58,23.95,5.61,58.92,14.19,2.8
Biber,2024-01-16 12:00:00,4145.56,29.16,7.36,45.52,6.83,1.12
Nane,2024-01-16 12:00:00,4506.14,23.99,5.19,79.1,1.05,0.78
Domates,2024-01-16 18:00:00,6311.38,24.39,6.19,53.44,2.16,1.4
Biber,2024-01-16 18:00:00,6770.49,20.82,7.13,49.55,0.14,1.7
Nane,2024-01-16 18:00:00,5515.82,23.14,5.96,72.53,0.7,0.78
Domates,2024-01-17 00:00:00,7504.09,25.22,7.63,59.75,8.32,1.91
Biber,2024-01-17 00:00:00,5077.18,20.75,7.64,58.15,4.32,1.21
Nane,2024-01-17 00:00:00,4990.58,19.63,3.0,67.27,6.6,1.49
Domates,2024-01-17 06:00:00,7025.65,20.03,6.37,59.59,7.97,1.67
Biber,2024-01-17 06:00:00,6784.05,27.59,6.68,57.53,6.31,1.08
Nane,2024-01-17 06:00:00,5220.54,17.39,4.75,62.53,0.45,0.94
Domates,2024-01-17 12:00:00,5541.88,27.78,5.98,63.97,6.64,2.38
Biber,2024-01-17 12:00:00,5951.57,21.72,8.55,57.09,9.85,1.55
Nane,2024-01-17 12:00:00,5770.97,24.38,5.25,62.3,1.73,0.83
Domates,2024-01-17 18:00:00,6724.07,21.04,5.84,68.55,11.98,1.92
Biber,2024-01-17 18:00:00,5637.5,20.01,8.56,40.36,7.89,1.19
Nane,2024-01-17 18:00:00,3847.65,24.19,5.96,77.34,0.26,1.1
Domates,2024-01-18 00:00:00,7238.47,26.83,7.91,59.62,9.47,2.41
Biber,2024-01-18 00:00:00,5854.56,26.01,6.19,40.31,8.21,1.82
Nane,2024-01-18 00:00:00,5484.58,18.82,4.61,76.86,5.43,0.62
Domates,2024-01-18 06:00:00,5449.0,24.28,6.12,58.02,3.58,1.77
Biber,2024-01-18 06:00:00,4171.21,26.69,7.38,55.42,7.82,1.12
Nane,2024-01-18 06:00:00,4992.62,15.3,5.28,73.32,4.23,1.19
Domates,2024-01-18 12:00:00,6079.57,27.12,7.2,50.83,6.47,2.53
Biber,2024-01-18 12:00:00,5562.12,22.67,6.25,54.3,3.23,1.72
Nane,2024-01-18 12:00:00,4969.54,21.67,4.19,60.66,3.84,1.17
Domates,2024-01-18 18:00:00,7061.15,20.87,5.6,61.47,10.52,1.46
Biber,2024-01-18 18:00:00,6828.28,21.96,7.59,54.04,0.15,1.44
Nane,2024-01-18 18:00:00,5569.64,15.7,4.82,78.45,3.85,1.28
Domates,2024-01-19 00:00:00,6871.68,24.92,7.94,53.17,7.95,2.47
Biber,2024-01-19 00:00:00,6116.55,29.91,6.39,48.26,7.23,1.17
Nane,2024-01-19 00:00:00,3946.38,21.67,4.5,62.27,7.43,1.2
Domates,2024-01-19 06:00:00,5939.05,25.37,6.39,54.96,3.02,2.67
Biber,2024-01-19 06:00:00,4861.78,22.18,7.56,48.95,7.52,1.93
Nane,2024-01-19 06:00:00,5191.02,19.08,5.74,63.07,0.38,0.91
Domates,2024-01-19 12:00:00,6867.33,19.05,6.0,55.12,2.43,1.46
Biber,2024-01-19 12:00:00,6489.1,25.34,6.38,44.88,9.67,1.4
Nane,2024-01-19 12:00:00,5580.87,20.92,3.61,70.48,0.31,0.9
Domates,2024-01-19 18:00:00,7594.3,25.93,7.97,64.9,8.81,2.57
Biber,2024-01-19 18:00:00,6272.96,27.56,8.61,50.65,9.83,0.93
Nane,2024-01-19 18:00:00,3042.09,19.42,5.68,79.23,3.15,1.46
Domates,2024-01-20 00:00:00,5703.96,23.91,5.75,61.41,9.9,1.33
Biber,2024-01-20 00:00:00,6772.15,22.67,7.34,52.3,8.63,1.54
Nane,2024-01-20 00:00:00,3755.89,22.51,3.2,71.21,0.47,1.14
Domates,2024-01-20 06:00:00,5973.08,22.0,5.91,67.72,4.49,2.93
Biber,2024-01-20 06:00:00,4623.95,21.77,6.48,41.87,7.43,1.85
Nane,2024-01-20 06:00:00,5197.06,18.79,3.0,77.31,3.81,1.35
Domates,2024-01-20 12:00:00,6432.29,18.18,7.15,61.96,2.53,2.31
Biber,2024-01-20 12:00:00,6005.11,27.1,8.86,52.52,1.24,1.08
Nane,2024-01-20 12:00:00,3213.74,20.8,3.73,66.75,3.34,1.31
Domates,2024-01-20 18:00:00,5121.33,26.18,5.48,67.32,7.21,1.58
Biber,2024-01-20 18:00:00,5934.76,23.99,6.92,54.36,0.14,1.0
Nane,2024-01-20 18:00:00,3867.25,20.21,5.32,62.32,4.59,1.45
Domates,2024-01-21 00:00:00,6502.46,27.75,7.06,66.62,14.43,1.4
Biber,2024-01-21 00:00:00,5202.64,20.28,6.94,59.51,0.44,2.08
Nane,2024-01-21 00:00:00,5595.32,16.28,3.95,77.56,6.69,1.37
Domates,2024-01-21 06:00:00,5816.41,18.49,7.08,57.66,14.88,2.69
Biber,2024-01-21 06:00:00,6540.42,20.82,6.7,44.95,0.06,2.27
Nane,2024-01-21 06:00:00,3543.84,16.23,3.26,73.48,0.51,1.32
Domates,2024-01-21 12:00:00,6417.29,22.68,6.68,59.88,13.82,2.77
Biber,2024-01-21 12:00:00,5623.92,29.14,7.78,44.22,1.89,2.23
Nane,2024-01-21 12:00:00,5900.09,17.44,5.26,77.52,5.63,1.34
Domates,2024-01-21 18:00:00,6953.38,18.74,7.97,56.31,9.82,2.81
Biber,2024-01-21 18:00:00,4016.48,21.89,7.28,42.31,7.85,1.41
Nane,2024-01-21 18:00:00,3281.65,19.89,5.81,60.0,4.68,0.54
Domates,2024-01-22 00:00:00,6540.39,19.27,5.84,55.92,10.26,2.51
Biber,2024-01-22 00:00:00,5585.64,20.99,6.49,51.14,0.24,2.48
Nane,2024-01-22 00:00:00,3776.32,22.84,3.56,71.64,0.67,0.54
Domates,2024-01-22 06:00:00,5637.59,27.79,7.29,51.8,9.8,1.45
Biber,2024-01-22 06:00:00,5202.11,21.26,6.77,41.97,5.75,1.26
Nane,2024-01-22 06:00:00,5834.11,23.65,3.57,70.6,5.33,1.17
Domates,2024-01-22 12:00:00,5980.01,27.62,5.82,63.41,6.29,1.29
Biber,2024-01-22 12:00:00,6983.83,26.97,6.09,44.3,6.52,1.51
Nane,2024-01-22 12:00:00,4422.86,22.53,4.89,64.24,2.09,1.12
Domates,2024-01-22 18:00:00,5388.24,19.28,5.04,59.03,13.16,1.48
Biber,2024-01-22 18:00:00,5405.11,29.77,8.47,49.99,8.73,1.98
Nane,2024-01-22 18:00:00,5559.65,19.04,3.32,78.57,5.16,1.17
Domates,2024-01-23 00:00:00,6056.34,19.76,5.31,54.01,4.7,1.3
Biber,2024-01-23 00:00:00,6070.92,23.23,8.8,41.38,8.96,1.04
Nane,2024-01-23 00:00:00,3979.71,16.62,4.61,75.89,5.68,1.42
Domates,2024-01-23 06:00:00,5925.24,21.88,6.56,63.37,5.14,2.64
Biber,2024-01-23 06:00:00,5906.06,29.78,6.64,42.53,5.74,0.91
Nane,2024-01-23 06:00:00,4690.47,15.49,5.07,74.33,5.49,1.43
Domates,2024-01-23 12:00:00,5687.71,24.73,6.39,64.81,6.93,2.1
Biber,2024-01-23 12:00:00,4851.65,21.17,6.2,55.53,2.53,0.81
Nane,2024-01-23 12:00:00,3809.47,19.63,5.19,76.0,6.49,1.14
Domates,2024-01-23 18:00:00,6628.08,23.79,6.91,50.62,4.7,2.33
Biber,2024-01-23 18:00:00,5297.53,30.0,8.27,56.26,6.74,2.14
Nane,2024-01-23 18:00:00,4010.02,22.9,4.49,60.79,6.38,1.2
Domates,2024-01-24 00:00:00,7093.64,19.61,5.48,65.66,9.45,1.36
Biber,2024-01-24 00:00:00,6297.61,29.42,6.48,51.6,8.27,1.96
Nane,2024-01-24 00:00:00,3686.88,15.24,3.93,78.71,3.14,1.35
Domates,2024-01-24 06:00:00,5885.35,22.11,5.75,61.78,11.11,1.11
Biber,2024-01-24 06:00:00,4359.17,24.54,7.29,51.83,4.47,1.43
Nane,2024-01-24 06:00:00,3018.22,19.93,5.07,66.11,4.06,1.42
Domates,2024-01-24 12:00:00,5385.82,24.18,5.67,56.32,2.74,2.49
Biber,2024-01-24 12:00:00,5135.51,24.54,8.4,41.06,8.86,1.04
Nane,2024-01-24 12:00:00,3386.67,21.22,3.89,65.7,2.04,1.08
Domates,2024-01-24 18:00:00,7682.55,20.89,6.46,69.39,0.67,2.4
Biber,2024-01-24 18:00:00,5189.23,20.88,7.27,56.12,8.35,0.83
Nane,2024-01-24 18:00:00,3711.26,23.1,3.91,76.01,6.25,1.35
Domates,2024-01-25 00:00:00,7071.95,19.91,6.91,66.01,10.47,2.77
Biber,2024-01-25 00:00:00,6444.1,23.99,8.32,55.75,3.61,1.53
Nane,2024-01-25 00:00:00,3225.36,17.43,3.33,62.1,3.02,1.34
Domates,2024-01-25 06:00:00,5821.68,19.08,5.11,52.65,3.11,2.89
Biber,2024-01-25 06:00:00,5082.03,23.06,8.33,52.41,6.3,1.06
Nane,2024-01-25 06:00:00,3758.22,17.67,5.65,70.51,5.15,1.06
Domates,2024-01-25 12:00:00,7261.1,27.49,5.33,54.96,14.82,1.38
Biber,2024-01-25 12:00:00,6846.63,26.79,8.15,59.2,0.37,2.16
Nane,2024-01-25 12:00:00,3669.64,18.81,3.99,62.43,4.22,0.65
Domates,2024-01-25 18:00:00,5408.95,27.77,7.8,55.96,12.32,1.53
Biber,2024-01-25 18:00:00,6542.05,23.05,7.33,46.61,2.02,1.62
Nane,2024-01-25 18:00:00,3081.96,21.73,3.01,73.7,3.27,1.21
Domates,2024-01-26 00:00:00,5105.44,24.91,7.99,53.26,2.15,1.65
Biber,2024-01-26 00:00:00,6457.74,25.72,8.23,47.5,6.9,1.2
Nane,2024-01-26 00:00:00,3467.98,15.14,5.68,77.11,3.65,1.32
Domates,2024-01-26 06:00:00,7114.47,26.41,7.79,52.01,11.4,1.2
Biber,2024-01-26 06:00:00,4526.45,29.78,7.73,52.76,9.84,1.59
Nane,2024-01-26 06:00:00,5103.65,19.29,3.88,77.91,1.75,0.96
Domates,2024-01-26 12:00:00,5698.56,26.11,6.02,62.59,1.91,2.99
Biber,2024-01-26 12:00:00,4514.21,28.31,7.18,47.97,0.09,2.23
Nane,2024-01-26 12:00:00,5156.27,20.97,3.79,70.46,0.14,0.67
Domates,2024-01-26 18:00:00,7366.32,24.83,6.63,66.62,13.05,2.82
Biber,2024-01-26 18:00:00,5753.78,25.88,6.73,49.97,9.42,1.77
Nane,2024-01-26 18:00:00,4468.33,19.91,3.34,78.95,3.28,0.96
Domates,2024-01-27 00:00:00,6950.53,19.94,5.17,53.32,14.94,1.66
Biber,2024-01-27 00:00:00,5967.4,22.54,7.21,47.7,4.2,1.23
Nane,2024-01-27 00:00:00,4104.41,21.89,3.19,72.49,2.89,1.17
Domates,2024-01-27 06:00:00,5264.43,20.96,7.85,55.58,14.75,1.92
Biber,2024-01-27 06:00:00,5707.42,26.55,8.16,47.04,4.26,1.39
Nane,2024-01-27 06:00:00,5720.9,24.15,4.67,64.9,3.51,1.29
Domates,2024-01-27 12:00:00,6123.49,26.74,7.25,50.22,0.91,1.45
Biber,2024-01-27 12:00:00,4114.67,28.66,7.39,43.59,2.25,1.19
Nane,2024-01-27 12:00:00,5579.34,24.29,5.27,69.35,4.29,0.88
Domates,2024-01-27 18:00:00,5727.0,21.15,5.93,68.94,7.24,2.83
Biber,2024-01-27 18:00:00,6373.08,29.03,7.0,40.59,0.63,1.0
Nane,2024-01-27 18:00:00,3459.06,20.89,3.55,75.78,2.51,1.41
Domates,2024-01-28 00:00:00,6957.31,24.4,5.93,64.78,11.86,2.19
Biber,2024-01-28 00:00:00,5930.37,27.12,7.49,48.26,0.62,2.14
Nane,2024-01-28 00:00:00,3195.9,16.99,5.99,61.69,4.62,1.49
Domates,2024-01-28 06:00:00,6979.65,20.04,7.3,65.35,11.52,2.32
Biber,2024-01-28 06:00:00,6891.27,27.79,8.76,52.12,8.28,2.25
Nane,2024-01-28 06:00:00,4921.71,20.46,5.53,78.55,6.64,0.82
Domates,2024-01-28 12:00:00,7561.44,26.69,7.61,66.15,11.87,2.84
